"lemma","lemma_freq","gloss","form","stressed_syll","case","number","short_cluster","full_cluster","noep","ep"
"сводничество",29,"procuration","сво'дничеством",1,"inst","sg","св","св",0,254
"сводчик",26,"svodchik","сво'дчиками",1,"inst","pl","св","св",3,8
"своевластие",5,"svoevlastie","своевла'стием",3,"inst","sg","св","св",3,10
"своеволие",518,"contrariness","своево'лия",3,"gen","sg","св","св",7,7
"своевольник",14,"svoevolnik","своево'льниками",3,"inst","pl","св","св",10,6
"своевольство",136,"willful","своево'льством",3,"inst","sg","св","св",6,20
"своевременность",205,"timeliness","своевре'менности",3,"gen","sg","св","св",20,8
"своекорыстие",92,"self-interest","своекоры'стием",4,"inst","sg","св","св",16,377
"своенравие",96,"perversity","своенра'вием",3,"inst","sg","св","св",16,109
"своенравность",4,"willfulness","своенра'вностью",3,"inst","sg","св","св",4,44
"своеобразие",987,"originality","своеобра'зия",4,"gen","sg","св","св",5,8
"своеобразность",69,"originality","своеобра'зностью",4,"inst","sg","св","св",20,101
"своеобычность",10,"originality","своеобы'чностью",4,"inst","sg","св","св",3,8
"своз",39,"dumped","сво'зом",1,"inst","sg","св","св",1,21
"свойственник",124,"connexion","сво'йственником",1,"inst","sg","св","св",2,20
"свойственник",124,"connexion","сво'йственниками",1,"inst","pl","св","св",15,194
"свойство",18187,"property","сво'йств",1,"gen","pl","св","св",243,740
"сволочь",4048,"scum","сво'лочи",1,"gen","sg","св","св",983,121
"сволочь",4048,"scum","сволоче'й",3,"gen","pl","св","св",30,98
"сворот",19,"the wounds had","своро'том",2,"inst","sg","св","св",1,30
"свояк",323,"brother-in-law","свояка'ми",3,"inst","pl","св","св",10,229
"свояк",323,"brother-in-law","свояка'",3,"gen","sg","св","св",7,120
"связанность",171,"connectedness","свя'занностью",1,"inst","sg","св","св",4,202
"связист",524,"signalman","связи'стом",2,"inst","sg","св","св",47,728
"связист",524,"signalman","связи'ста",2,"gen","sg","св","св",11,29
"связист",524,"signalman","связи'стов",2,"gen","pl","св","св",52,103
"связник",42,"svyaznik","связнико'м",3,"inst","sg","св","св",5,442
"связник",42,"svyaznik","связника'ми",3,"inst","pl","св","св",1,187
"связной",955,"connected","связно'го",2,"gen","sg","св","св",55,232
"связной",955,"connected","связны'х",2,"gen","pl","св","св",19,24
"связность",178,"coherence","свя'зностью",1,"inst","sg","св","св",19,810
"связность",178,"coherence","свя'зностями",1,"inst","pl","св","св",1,54
"связность",178,"coherence","свя'зности",1,"gen","sg","св","св",23,14
"связывание",386,"binding","свя'зываниями",1,"inst","pl","св","св",2,139
"связывание",386,"binding","свя'зывания",1,"gen","sg","св","св",26,291
"связь",51190,"Contact","свя'зей",1,"gen","pl","св","св",824,436
"святейшество",335,"Holiness","святе'йшеством",2,"inst","sg","св","св",8,29
"святейшество",335,"Holiness","святе'йшества",2,"gen","sg","св","св",23,1
"святилище",411,"sanctuary","святи'лищами",2,"inst","pl","св","св",16,740
"святилище",411,"sanctuary","святи'лища",2,"gen","sg","св","св",110,345
"святилище",411,"sanctuary","святи'лищ",2,"gen","pl","св","св",3,48
"святитель",2343,"St","святи'телями",2,"inst","pl","св","св",66,987
"святитель",2343,"St","святи'теля",2,"gen","sg","св","св",101,472
"святость",1755,"holiness","свя'тостями",1,"inst","pl","св","св",2,16
"святость",1755,"holiness","свя'тости",1,"gen","sg","св","св",53,98
"святотатец",37,"svyatotatets","святота'тцем",3,"inst","sg","св","св",0,19
"святотатец",37,"svyatotatets","святота'тцами",3,"inst","pl","св","св",6,66
"святотатство",184,"sacrilege","святота'тством",3,"inst","sg","св","св",27,537
"святотатство",184,"sacrilege","святота'тства",3,"gen","sg","св","св",1,12
"священник",9736,"priest","свяще'нников",2,"gen","pl","св","св",199,851
"священничество",6,"priesthood","свяще'нничеством",2,"inst","sg","св","св",1,120
"священнодействие",182,"religious rite","свяще`нноде'йствием",4,"inst","sg","св","св",11,342
"священнодействие",182,"religious rite","свяще`нноде'йствиями",4,"inst","pl","св","св",3,63
"священнодействие",182,"religious rite","свяще`нноде'йствия",4,"gen","sg","св","св",0,12
"священнослужитель",736,"minister","свяще`ннослужи'теля",5,"gen","sg","св","св",19,133
"священнослужитель",736,"minister","свяще`ннослужи'телей",5,"gen","pl","св","св",46,223
"священство",536,"priesthood","свяще'нства",2,"gen","sg","св","св",11,58
"сгиб",436,"fold","сги'бами",1,"inst","pl","сг","сг",6,471
"сгиб",436,"fold","сги'ба",1,"gen","sg","сг","сг",15,281
"сгиб",436,"fold","сги'бов",1,"gen","pl","сг","сг",6,401
"сгибание",127,"flexion","сгиба'ниями",2,"inst","pl","сг","сг",8,128
"сгибание",127,"flexion","сгиба'ния",2,"gen","sg","сг","сг",19,421
"сгибание",127,"flexion","сгиба'ний",2,"gen","pl","сг","сг",2,47
"сгибатель",73,"flexor","сгиба'телем",2,"inst","sg","сг","сг",3,21
"сгибатель",73,"flexor","сгиба'телями",2,"inst","pl","сг","сг",5,67
"сгибатель",73,"flexor","сгиба'телей",2,"gen","pl","сг","сг",5,47
"сглаживание",102,"smoothing","сгла'живаниями",1,"inst","pl","сг","сгл",22,83
"сглаживание",102,"smoothing","сгла'живания",1,"gen","sg","сг","сгл",32,75
"сглаз",121,"whammy","сгла'зами",1,"inst","pl","сг","сгл",28,180
"сглаз",121,"whammy","сгла'за",1,"gen","sg","сг","сгл",88,21
"сговор",837,"conspiracy","сго'ворами",1,"inst","pl","сг","сг",7,384
"сговор",837,"conspiracy","сго'вора",1,"gen","sg","сг","сг",19,215
"сговорчивость",37,"pliancy","сгово'рчивостью",2,"inst","sg","сг","сг",0,53
"сгон",15,"surges","сго'нами",1,"inst","pl","сг","сг",7,340
"сгон",15,"surges","сго'на",1,"gen","sg","сг","сг",3,192
"сгон",15,"surges","сго'нов",1,"gen","pl","сг","сг",3,12
"сгорание",681,"combustion","сгора'ния",2,"gen","sg","сг","сг",71,20
"сгребание",3,"raking","сгреба'нием",2,"inst","sg","сг","сгр",15,298
"сгуститель",6,"thickener","сгусти'телем",2,"inst","sg","сг","сг",9,129
"сгуститель",6,"thickener","сгусти'телями",2,"inst","pl","сг","сг",0,21
"сгуститель",6,"thickener","сгусти'телей",2,"gen","pl","сг","сг",0,12
"сгусток",537,"clot","сгу'стка",1,"gen","sg","сг","сг",12,100
"сгусток",537,"clot","сгу'стков",1,"gen","pl","сг","сг",17,19
"сгущение",203,"thickening","сгуще'ниями",2,"inst","pl","сг","сг",1,217
"сгущение",203,"thickening","сгуще'ния",2,"gen","sg","сг","сг",20,55
"сдавание",2,"sdavanie","сдава'нием",2,"inst","sg","сд","сд",30,136
"сдатчик",26,"deliverer","сда'тчиком",1,"inst","sg","сд","сд",15,290
"сдатчик",26,"deliverer","сда'тчиками",1,"inst","pl","сд","сд",11,917
"сдатчик",26,"deliverer","сда'тчика",1,"gen","sg","сд","сд",7,88
"сдатчик",26,"deliverer","сда'тчиков",1,"gen","pl","сд","сд",7,67
"сдвиг",1803,"shift","сдви'га",1,"gen","sg","сд","сдв",127,229
"сдвиг",1803,"shift","сдви'гов",1,"gen","pl","сд","сдв",21,185
"сдвоенность",2,"sdvoennost","сдво'енностью",1,"inst","sg","сд","сдв",1,14
"сдельщик",10,"pieceworker","сде'льщиком",1,"inst","sg","сд","сд",1,10
"сдельщик",10,"pieceworker","сде'льщиками",1,"inst","pl","сд","сд",3,92
"сдержанность",842,"restraint","сде'ржанности",1,"gen","sg","сд","сд",9,15
"сдирание",26,"stripping","сдира'нием",2,"inst","sg","сд","сд",41,552
"сдирание",26,"stripping","сдира'ния",2,"gen","sg","сд","сд",6,43
"сдобник",0,"Sdobnikov","сдо'бников",1,"gen","pl","сд","сд",120,1
"сдув",6,"blowing","сду'вом",1,"inst","sg","сд","сд",4,133
"сжатие",862,"compression","сжа'тиями",1,"inst","pl","сж","сж",23,88
"сжатие",862,"compression","сжа'тия",1,"gen","sg","сж","сж",182,224
"сжатие",862,"compression","сжа'тий",1,"gen","pl","сж","сж",7,4
"сжатость",88,"conciseness","сжа'тостью",1,"inst","sg","сж","сж",28,224
"сжигание",409,"burning","сжига'ниями",2,"inst","pl","сж","сж",17,21
"сжигание",409,"burning","сжига'ния",2,"gen","sg","сж","сж",230,598
"сжижение",38,"liquefaction","сжиже'нием",2,"inst","sg","сж","сж",81,171
"сжим",5,"compressibility","сжи'мом",1,"inst","sg","сж","сж",10,9
"сжим",5,"compressibility","сжи'мами",1,"inst","pl","сж","сж",7,41
"сжимаемость",71,"compressibility","сжима'емостью",2,"inst","sg","сж","сж",78,211
"скабрёзность",45,"scabrous","скабрёзностью",2,"inst","sg","ск","ск",4,90
"скабрёзность",45,"scabrous","скабрёзностями",2,"inst","pl","ск","ск",3,192
"сказ",466,"tale","ска'зом",1,"inst","sg","ск","ск",22,352
"сказ",466,"tale","ска'зами",1,"inst","pl","ск","ск",20,333
"сказ",466,"tale","ска'за",1,"gen","sg","ск","ск",90,73
"сказ",466,"tale","ска'зов",1,"gen","pl","ск","ск",19,12
"сказание",1849,"saga","сказа'ния",2,"gen","sg","ск","ск",328,213
"сказание",1849,"saga","сказа'ний",2,"gen","pl","ск","ск",14,122
"сказитель",94,"narrator","скази'телем",2,"inst","sg","ск","ск",3,299
"сказитель",94,"narrator","скази'телями",2,"inst","pl","ск","ск",4,232
"сказитель",94,"narrator","скази'теля",2,"gen","sg","ск","ск",2,10
"сказочник",375,"storyteller","ска'зочником",1,"inst","sg","ск","ск",191,955
"сказочник",375,"storyteller","ска'зочниками",1,"inst","pl","ск","ск",12,471
"сказочник",375,"storyteller","ска'зочника",1,"gen","sg","ск","ск",6,73
"сказочник",375,"storyteller","ска'зочников",1,"gen","pl","ск","ск",4,34
"сказочность",49,"fabulousness","ска'зочностью",1,"inst","sg","ск","ск",8,441
"скак",310,"gallop","ска'ка",1,"gen","sg","ск","ск",5,18
"скак",310,"gallop","ска'ков",1,"gen","pl","ск","ск",192,1
"скакун",340,"jumper","скакуно'м",3,"inst","sg","ск","ск",42,682
"скакун",340,"jumper","скакуна'ми",3,"inst","pl","ск","ск",51,551
"скакун",340,"jumper","скакуна'",3,"gen","sg","ск","ск",54,554
"скакун",340,"jumper","скакуно'в",3,"gen","pl","ск","ск",52,90
"скал",8033,"rocks","ска'лом",1,"inst","sg","ск","ск",11,79
"скал",8033,"rocks","ска'ла",1,"gen","sg","ск","ск",846,221
"скал",8033,"rocks","ска'лов",1,"gen","pl","ск","ск",18,5
"скалозуб",87,"puffer","скалозу'бом",3,"inst","sg","ск","ск",22,303
"скалозуб",87,"puffer","скалозу'бами",3,"inst","pl","ск","ск",0,15
"скалозуб",87,"puffer","скалозу'ба",3,"gen","sg","ск","ск",17,4
"скалозуб",87,"puffer","скалозу'бов",3,"gen","pl","ск","ск",32,0
"скалолаз",77,"rock climber","скалола'зом",3,"inst","sg","ск","ск",11,232
"скалолаз",77,"rock climber","скалола'зами",3,"inst","pl","ск","ск",28,487
"скалолаз",77,"rock climber","скалола'за",3,"gen","sg","ск","ск",0,14
"скалолаз",77,"rock climber","скалола'зов",3,"gen","pl","ск","ск",4,8
"скальд",76,"skald","ска'льдом",1,"inst","sg","ск","ск",11,259
"скальд",76,"skald","ска'льдами",1,"inst","pl","ск","ск",1,116
"скальд",76,"skald","ска'льда",1,"gen","sg","ск","ск",5,19
"скальп",135,"scalp","ска'льпами",1,"inst","pl","ск","ск",12,620
"скальп",135,"scalp","ска'льпа",1,"gen","sg","ск","ск",11,553
"скальп",135,"scalp","ска'льпов",1,"gen","pl","ск","ск",4,103
"скальпель",286,"scalpel","ска'льпеля",1,"gen","sg","ск","ск",15,193
"скальпирование",4,"scalping","скальпи'рованием",2,"inst","sg","ск","ск",3,118
"скальпирование",4,"scalping","скальпи'рования",2,"gen","sg","ск","ск",0,14
"скаляр",3,"scalar","скаля'ром",2,"inst","sg","ск","ск",4,227
"скаляр",3,"scalar","скаля'рами",2,"inst","pl","ск","ск",17,323
"скандалист",130,"brawler","скандали'стом",3,"inst","sg","ск","ск",26,590
"скандалист",130,"brawler","скандали'стами",3,"inst","pl","ск","ск",11,451
"скандалист",130,"brawler","скандали'ста",3,"gen","sg","ск","ск",1,21
"скандальность",40,"scandalous","сканда'льностью",2,"inst","sg","ск","ск",8,307
"скандальчик",61,"scandal","сканда'льчиком",2,"inst","sg","ск","ск",6,340
"скандальчик",61,"scandal","сканда'льчиками",2,"inst","pl","ск","ск",1,79
"скандальчик",61,"scandal","сканда'льчика",2,"gen","sg","ск","ск",0,54
"скандий",141,"scandium","ска'ндием",1,"inst","sg","ск","ск",8,328
"скандий",141,"scandium","ска'ндия",1,"gen","sg","ск","ск",9,40
"скандинав",189,"Scandinavian","скандина'вом",3,"inst","sg","ск","ск",19,251
"скандинав",189,"Scandinavian","скандина'ва",3,"gen","sg","ск","ск",4,13
"скандинав",189,"Scandinavian","скандина'вов",3,"gen","pl","ск","ск",16,177
"скандирование",27,"scansion","сканди'рованием",2,"inst","sg","ск","ск",22,689
"скандирование",27,"scansion","сканди'рованиями",2,"inst","pl","ск","ск",1,35
"скандирование",27,"scansion","сканди'рования",2,"gen","sg","ск","ск",4,137
"скандирование",27,"scansion","сканди'рований",2,"gen","pl","ск","ск",1,11
"скань",11,"filigree","ска'нью",1,"inst","sg","ск","ск",14,510
"скань",11,"filigree","ска'ни",1,"gen","sg","ск","ск",3,29
"скаполит",1,"scapolite","скаполи'том",3,"inst","sg","ск","ск",0,25
"скарабей",72,"scarab","скарабе'ем",3,"inst","sg","ск","ск",47,855
"скарабей",72,"scarab","скарабе'ями",3,"inst","pl","ск","ск",18,519
"скарабей",72,"scarab","скарабе'я",3,"gen","sg","ск","ск",1,56
"скарабей",72,"scarab","скарабе'ев",3,"gen","pl","ск","ск",8,23
"скарб",478,"goods and chattels","ска'рбами",1,"inst","pl","ск","ск",5,17
"скарб",478,"goods and chattels","ска'рба",1,"gen","sg","ск","ск",1,12
"скарбник",0,"skarbnik","ска'рбником",1,"inst","sg","ск","ск",1,12
"скаред",52,"skared","ска'редом",1,"inst","sg","ск","ск",3,10
"скарификатор",2,"scarifier","скарифика'тором",4,"inst","sg","ск","ск",12,225
"скарификатор",2,"scarifier","скарифика'торами",4,"inst","pl","ск","ск",1,19
"скармливание",20,"feeding","ска'рмливанием",1,"inst","sg","ск","ск",14,275
"скармливание",20,"feeding","ска'рмливания",1,"gen","sg","ск","ск",0,15
"скарн",4,"skarn","ска'рном",1,"inst","sg","ск","ск",1,25
"скарн",4,"skarn","ска'рнами",1,"inst","pl","ск","ск",0,112
"скат",1501,"skat","ска'тов",1,"gen","pl","ск","ск",95,901
"скатерть",2673,"tablecloth","скатерте'й",3,"gen","pl","ск","ск",4,192
"скатол",14,"skatole","скато'лом",2,"inst","sg","ск","ск",1,75
"скатывание",31,"slide","ска'тыванием",1,"inst","sg","ск","ск",22,481
"скатывание",31,"slide","ска'тывания",1,"gen","sg","ск","ск",1,22
"скаут",152,"scout","ска'ута",1,"gen","sg","ск","ск",37,234
"скаут",152,"scout","ска'утов",1,"gen","pl","ск","ск",27,203
"скаутизм",3,"scout","скаути'змом",3,"inst","sg","ск","ск",0,25
"скафандр",606,"space suit","скафа'ндрами",2,"inst","pl","ск","ск",34,879
"скафандр",606,"space suit","скафа'ндра",2,"gen","sg","ск","ск",15,361
"скафандр",606,"space suit","скафа'ндров",2,"gen","pl","ск","ск",7,180
"скачкообразность",6,"spasmodic","скачкообра'зностью",4,"inst","sg","ск","ск",2,22
"скачок",2327,"jump","скачка'",2,"gen","sg","ск","ск",327,380
"скачок",2327,"jump","скачко'в",2,"gen","pl","ск","ск",781,88
"скважность",3,"Duty Cycle","сква'жности",1,"gen","sg","ск","скв",10,10
"сквайр",21,"squire","сква'йром",1,"inst","sg","ск","скв",22,326
"сквайр",21,"squire","сква'йрами",1,"inst","pl","ск","скв",3,109
"сквайр",21,"squire","сква'йра",1,"gen","sg","ск","скв",11,13
"скваттер",7,"squatter","сква'ттером",1,"inst","sg","ск","скв",0,14
"скваттер",7,"squatter","сква'ттерами",1,"inst","pl","ск","скв",2,123
"сквер",1487,"Square","скве'рами",1,"inst","pl","ск","скв",21,774
"сквер",1487,"Square","скве'ра",1,"gen","sg","ск","скв",41,696
"сквер",1487,"Square","скве'ров",1,"gen","pl","ск","скв",8,76
"скверик",314,"public garden","скве'риком",1,"inst","sg","ск","скв",5,478
"скверик",314,"public garden","скве'риками",1,"inst","pl","ск","скв",5,148
"скверик",314,"public garden","скве'рика",1,"gen","sg","ск","скв",7,142
"сквернослов",46,"ribald","скверносло'вом",3,"inst","sg","ск","скв",2,78
"сквернослов",46,"ribald","скверносло'вами",3,"inst","pl","ск","скв",3,113
"сквернословие",147,"ribaldry","скверносло'виями",3,"inst","pl","ск","скв",4,18
"сквернословие",147,"ribaldry","скверносло'вия",3,"gen","sg","ск","скв",7,18
"скверность",53,"skvernost","скве'рностью",1,"inst","sg","ск","скв",2,23
"сквозняк",760,"draft","сквозняка'",3,"gen","sg","ск","скв",12,379
"сквозняк",760,"draft","сквозняко'в",3,"gen","pl","ск","скв",52,81
"сквознячок",96,"skvoznyachok","сквознячко'м",3,"inst","sg","ск","скв",9,210
"сквознячок",96,"skvoznyachok","сквознячка'ми",3,"inst","pl","ск","скв",0,23
"скворец",1009,"starling","скворцо'м",2,"inst","sg","ск","скв",21,623
"скворец",1009,"starling","скворца'ми",2,"inst","pl","ск","скв",22,838
"скворец",1009,"starling","скворца'",2,"gen","sg","ск","скв",17,995
"скворечник",194,"nesting box","скворе'чниками",2,"inst","pl","ск","скв",11,570
"скворечник",194,"nesting box","скворе'чника",2,"gen","sg","ск","скв",7,111
"скворечник",194,"nesting box","скворе'чников",2,"gen","pl","ск","скв",6,49
"скворчонок",8,"skvorchonok","скворча'тами",2,"inst","pl","ск","скв",1,17
"скелет",1893,"skeleton","скеле'тов",2,"gen","pl","ск","ск",68,599
"скелетон",30,"skeleton","ске'летоном",1,"inst","sg","ск","ск",36,237
"скелетон",30,"skeleton","ске'летонами",1,"inst","pl","ск","ск",15,212
"скелетон",30,"skeleton","ске'летона",1,"gen","sg","ск","ск",8,33
"скелетон",30,"skeleton","ске'летонов",1,"gen","pl","ск","ск",7,30
"скепсис",311,"scepsis","ске'псиса",1,"gen","sg","ск","ск",8,134
"скептик",826,"skeptic","ске'птика",1,"gen","sg","ск","ск",8,86
"скептик",826,"skeptic","ске'птиков",1,"gen","pl","ск","ск",14,35
"скептицизм",620,"skepticism","скептици'зма",3,"gen","sg","ск","ск",17,168
"скептичность",0,"skeptical","скепти'чностью",2,"inst","sg","ск","ск",1,12
"скетч",84,"sketch","ске'тчем",1,"inst","sg","ск","ск",19,566
"скетч",84,"sketch","ске'тча",1,"gen","sg","ск","ск",12,189
"скетч",84,"sketch","ске'тчей",1,"gen","pl","ск","ск",6,208
"скид",2,"skid","ски'дом",1,"inst","sg","ск","ск",4,59
"скид",2,"skid","ски'дами",1,"inst","pl","ск","ск",1,212
"скид",2,"skid","ски'да",1,"gen","sg","ск","ск",6,10
"скип",15,"skip","ски'пами",1,"inst","pl","ск","ск",1,216
"скип",15,"skip","ски'па",1,"gen","sg","ск","ск",23,87
"скипетр",340,"scepter","ски'петрами",1,"inst","pl","ск","ск",9,327
"скипетр",340,"scepter","ски'петра",1,"gen","sg","ск","ск",7,117
"скипетр",340,"scepter","ски'петров",1,"gen","pl","ск","ск",13,8
"скипидар",243,"turpentine","скипида'ра",3,"gen","sg","ск","ск",14,26
"скирд",385,"rick","скирдо'м",2,"inst","sg","ск","ск",10,6
"скирд",385,"rick","скирда'ми",2,"inst","pl","ск","ск",4,269
"скирд",385,"rick","скирда'",2,"gen","sg","ск","ск",131,20
"скирд",385,"rick","скирдо'в",2,"gen","pl","ск","ск",9,12
"скирдование",3,"stacking","скирдова'нием",3,"inst","sg","ск","ск",0,32
"скиталец",299,"wanderer","скита'льцем",2,"inst","sg","ск","ск",40,424
"скиталец",299,"wanderer","скита'льцами",2,"inst","pl","ск","ск",11,247
"скиталец",299,"wanderer","скита'льца",2,"gen","sg","ск","ск",112,153
"скиталец",299,"wanderer","скита'льцев",2,"gen","pl","ск","ск",21,17
"скитальчество",41,"wandering","скита'льчеством",2,"inst","sg","ск","ск",2,12
"скитание",627,"roam","скита'нием",2,"inst","sg","ск","ск",3,109
"скитание",627,"roam","скита'ниями",2,"inst","pl","ск","ск",1,387
"скитание",627,"roam","скита'ния",2,"gen","sg","ск","ск",29,12
"скитание",627,"roam","скита'ний",2,"gen","pl","ск","ск",6,111
"скитник",82,"skitnik","ски'тниками",1,"inst","pl","ск","ск",0,14
"скиф",837,"Scythian","ски'фа",1,"gen","sg","ск","ск",23,244
"скиф",837,"Scythian","ски'фов",1,"gen","pl","ск","ск",20,262
"складень",94,"triptych","скла'днем",1,"inst","sg","ск","скл",2,103
"складень",94,"triptych","скла'днями",1,"inst","pl","ск","скл",4,69
"складень",94,"triptych","скла'дня",1,"gen","sg","ск","скл",1,17
"складирование",128,"warehousing","склади'рования",2,"gen","sg","ск","скл",22,42
"складкообразование",9,"folding","скла`дкообразова'нием",6,"inst","sg","ск","скл",1,44
"складность",9,"skladnost","скла'дностью",1,"inst","sg","ск","скл",3,45
"складчатость",15,"folding","скла'дчатостью",1,"inst","sg","ск","скл",4,213
"складчик",3,"storekeeper","скла'дчиков",1,"gen","pl","ск","скл",21,3
"складывание",106,"folding","скла'дываниями",1,"inst","pl","ск","скл",0,15
"складывание",106,"folding","скла'дывания",1,"gen","sg","ск","скл",52,249
"склеивание",136,"gluing","скле'ивания",1,"gen","sg","ск","скл",43,90
"склеп",657,"crypt","скле'пами",1,"inst","pl","ск","скл",9,884
"склеп",657,"crypt","скле'па",1,"gen","sg","ск","скл",62,405
"склеп",657,"crypt","скле'пов",1,"gen","pl","ск","скл",14,79
"склерит",725,"scleritis","склери'том",2,"inst","sg","ск","скл",1,19
"склерит",725,"scleritis","склери'тами",2,"inst","pl","ск","скл",1,10
"склероз",389,"sclerosis","склеро'зами",2,"inst","pl","ск","скл",0,25
"склероз",389,"sclerosis","склеро'за",2,"gen","sg","ск","скл",10,59
"склерометр",2,"sclerometer","склеро'метром",2,"inst","sg","ск","скл",1,11
"склеротик",16,"sklerotik","склеро'тиком",2,"inst","sg","ск","скл",4,77
"склеротик",16,"sklerotik","склеро'тиками",2,"inst","pl","ск","скл",1,64
"склеротик",16,"sklerotik","склеро'тика",2,"gen","sg","ск","скл",8,14
"склиз",4,"slide-ways","скли'зом",1,"inst","sg","ск","скл",1,129
"склиз",4,"slide-ways","скли'зами",1,"inst","pl","ск","скл",1,33
"склиз",4,"slide-ways","скли'за",1,"gen","sg","ск","скл",0,17
"склонение",320,"declination","склоне'ниями",2,"inst","pl","ск","скл",36,836
"склонение",320,"declination","склоне'ния",2,"gen","sg","ск","скл",28,35
"склонность",2989,"penchant","скло'нности",1,"gen","sg","ск","скл",66,235
"склонность",2989,"penchant","скло'нностей",1,"gen","pl","ск","скл",5,11
"склочник",50,"muckrake","скло'чником",1,"inst","sg","ск","скл",1,65
"склочник",50,"muckrake","скло'чниками",1,"inst","pl","ск","скл",3,109
"склочность",10,"quarrelsomeness","скло'чностью",1,"inst","sg","ск","скл",3,61
"скобарь",31,"skobar","скобарём",3,"inst","sg","ск","ск",8,53
"скобарь",31,"skobar","скобаря'ми",3,"inst","pl","ск","ск",1,105
"скобление",5,"scrape","скобле'нием",2,"inst","sg","ск","ск",1,47
"сков",14,"Skov","ско'ва",1,"gen","sg","ск","ск",4,7
"скованность",207,"constraint","ско'ванностью",1,"inst","sg","ск","ск",6,682
"скованность",207,"constraint","ско'ванности",1,"gen","sg","ск","ск",8,22
"сковородник",79,"Skovorodnikov","сковоро'дником",3,"inst","sg","ск","ск",1,193
"сковородник",79,"Skovorodnikov","сковоро'дниками",3,"inst","pl","ск","ск",2,13
"сковородник",79,"Skovorodnikov","сковоро'дников",3,"gen","pl","ск","ск",43,1
"скок",545,"Skok","ско'ком",1,"inst","sg","ск","ск",99,154
"скок",545,"Skok","ско'ками",1,"inst","pl","ск","ск",7,28
"скок",545,"Skok","ско'ка",1,"gen","sg","ск","ск",628,229
"скок",545,"Skok","ско'ков",1,"gen","pl","ск","ск",160,6
"скол",92,"Skol","ско'ла",1,"gen","sg","ск","ск",35,177
"скол",92,"Skol","ско'лов",1,"gen","pl","ск","ск",26,134
"сколачивание",40,"nailing","скола'чиванием",2,"inst","sg","ск","ск",5,109
"сколачивание",40,"nailing","скола'чивания",2,"gen","sg","ск","ск",1,35
"сколиоз",62,"scoliosis","сколио'зами",3,"inst","pl","ск","ск",1,468
"сколиоз",62,"scoliosis","сколио'за",3,"gen","sg","ск","ск",10,22
"сколок",72,"skolok","ско'лком",1,"inst","sg","ск","ск",0,36
"сколок",72,"skolok","ско'лками",1,"inst","pl","ск","ск",7,56
"сколок",72,"skolok","ско'лка",1,"gen","sg","ск","ск",13,19
"сколок",72,"skolok","ско'лков",1,"gen","pl","ск","ск",17,7
"скольжение",409,"slip","скольже'ниями",2,"inst","pl","ск","ск",10,475
"скольжение",409,"slip","скольже'ния",2,"gen","sg","ск","ск",121,154
"скольжение",409,"slip","скольже'ний",2,"gen","pl","ск","ск",4,11
"скоморох",350,"minstrel","скоморо'хом",3,"inst","sg","ск","ск",41,523
"скоморох",350,"minstrel","скоморо'ха",3,"gen","sg","ск","ск",17,30
"скоморох",350,"minstrel","скоморо'хов",3,"gen","pl","ск","ск",159,83
"скоморошество",38,"skomoroshestvo","скоморо'шеством",3,"inst","sg","ск","ск",1,207
"скончание",261,"end of","сконча'нием",2,"inst","sg","ск","ск",15,30
"скончание",261,"end of","сконча'ния",2,"gen","sg","ск","ск",10,17
"скоп",379,"osprey","ско'пом",1,"inst","sg","ск","ск",84,346
"скоп",379,"osprey","ско'пами",1,"inst","pl","ск","ск",3,79
"скоп",379,"osprey","ско'па",1,"gen","sg","ск","ск",53,40
"скоп",379,"osprey","ско'пов",1,"gen","pl","ск","ск",18,11
"скопец",269,"eunuch","скопцо'м",2,"inst","sg","ск","ск",7,96
"скопец",269,"eunuch","скопца'ми",2,"inst","pl","ск","ск",8,263
"скопец",269,"eunuch","скопцо'в",2,"gen","pl","ск","ск",60,5
"скопидом",36,"skopidom","скопидо'мом",3,"inst","sg","ск","ск",1,16
"скопидомство",41,"skopidomstvo","скопидо'мством",3,"inst","sg","ск","ск",1,41
"скопище",354,"assemblage","ско'пищем",1,"inst","sg","ск","ск",26,957
"скопище",354,"assemblage","ско'пищами",1,"inst","pl","ск","ск",6,87
"скопище",354,"assemblage","ско'пища",1,"gen","sg","ск","ск",3,8
"скопление",1510,"congestion","скопле'ния",2,"gen","sg","ск","ск",47,166
"скопление",1510,"congestion","скопле'ний",2,"gen","pl","ск","ск",19,11
"скопчество",26,"skopchestvo","ско'пчеством",1,"inst","sg","ск","ск",3,56
"скорбут",19,"scorbutus","скорбу'том",2,"inst","sg","ск","ск",1,43
"скорбь",3312,"sorrow","скорбя'ми",2,"inst","pl","ск","ск",60,796
"скорбь",3312,"sorrow","ско'рби",1,"gen","sg","ск","ск",48,252
"скорбь",3312,"sorrow","скорбе'й",2,"gen","pl","ск","ск",11,13
"скорм",1,"fed","ско'рмом",1,"inst","sg","ск","ск",3,11
"скорняк",182,"furrier","скорняко'м",3,"inst","sg","ск","ск",10,195
"скорняк",182,"furrier","скорняка'ми",3,"inst","pl","ск","ск",5,111
"скорняк",182,"furrier","скорняко'в",3,"gen","pl","ск","ск",185,1
"скородум",20,"Skorodumov","скороду'мом",3,"inst","sg","ск","ск",0,14
"скородум",20,"Skorodumov","скороду'мов",3,"gen","pl","ск","ск",166,1
"скоромник",5,"Skoromnik","скоро'мников",2,"gen","pl","ск","ск",63,0
